Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
BungeeCord1,net.md_5.bungee.api.plugin,Plugin,getExecutorService,Long Statement,The length of the statement "service=Executors.newCachedThreadPool(new ThreadFactoryBuilder().setNameFormat(name + " Pool Thread #%1$d").setThreadFactory(new GroupedThreadFactory(this`name)).build());" is 171.,111
BungeeCord1,net.md_5.bungee.api.plugin,PluginClassloader,loadClass0,Empty catch clause,The method has an empty catch block.,62
BungeeCord1,net.md_5.bungee.api.plugin,PluginClassloader,loadClass0,Empty catch clause,The method has an empty catch block.,62
BungeeCord1,net.md_5.bungee.api.plugin,PluginClassloader,loadClass0,Empty catch clause,The method has an empty catch block.,62
BungeeCord1,net.md_5.bungee.api.plugin,PluginLogger,PluginLogger,Abstract Function Call From Constructor,The constructor PluginLogger calls a virtual method getLogger.,11
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,PluginManager,Abstract Function Call From Constructor,The constructor PluginManager calls a virtual method getLogger.,62
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,dispatchCommand,Complex Method,Cyclomatic complexity of the method is 9,161
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,dispatchCommand,Long Statement,The length of the statement "sender.sendMessage((command.getPermissionMessage() == null) ? proxy.getTranslation("no_permission") : command.getPermissionMessage());" is 134.,161
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,dispatchCommand,Long Statement,The length of the statement "sender.sendMessage(ChatColor.RED + "An internal error occurred whilst executing this command` please check the console log for details.");" is 138.,161
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,enablePlugins,Long Statement,The length of the statement "ProxyServer.getInstance().getLogger().log(Level.INFO`"Enabled plugin {0} version {1} by {2}"`new Object[]{plugin.getDescription().getName()`plugin.getDescription().getVersion()`plugin.getDescription().getAuthor()});" is 215.,260
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,enablePlugins,Long Statement,The length of the statement "ProxyServer.getInstance().getLogger().log(Level.WARNING`"Exception encountered when loading plugin: " + plugin.getDescription().getName()`t);" is 141.,260
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,enablePlugin,Complex Method,Cyclomatic complexity of the method is 9,278
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,enablePlugin,Long Statement,The length of the statement "ProxyServer.getInstance().getLogger().log(Level.WARNING`"{0} (required by {1}) is unavailable"`new Object[]{String.valueOf(dependName)`plugin.getName()});" is 154.,278
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,enablePlugin,Long Statement,The length of the statement "URLClassLoader loader=new PluginClassloader(proxy`plugin`plugin.getFile()`(libraryLoader != null) ? libraryLoader.createLoader(plugin) : null);" is 143.,278
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,enablePlugin,Long Statement,The length of the statement "ProxyServer.getInstance().getLogger().log(Level.INFO`"Loaded plugin {0} version {1} by {2}"`new Object[]{plugin.getName()`plugin.getVersion()`plugin.getAuthor()});" is 163.,278
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,callEvent,Long Statement,The length of the statement "ProxyServer.getInstance().getLogger().log(Level.WARNING`"Event {0} took {1}ms to process!"`new Object[]{event`elapsed / 1000000});" is 130.,400
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,callEvent,Magic Number,The method contains a magic number: 250000000,400
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,callEvent,Magic Number,The method contains a magic number: 1000000,400
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,registerListener,Long Statement,The length of the statement "Preconditions.checkArgument(!method.isAnnotationPresent(Subscribe.class)`"Listener %s has registered using deprecated subscribe annotation! Please update to @EventHandler."`listener);" is 183.,427
BungeeCord1,net.md_5.bungee.api.scheduler,TaskScheduler,schedule,Long Parameter List,The method has 5 parameters. ,61
BungeeCord1,net.md_5.bungee.api.score,Scoreboard,addObjective,Long Statement,The length of the statement "Preconditions.checkArgument(!objectives.containsKey(objective.getName())`"Objective %s already exists in this scoreboard"`objective.getName());" is 143.,52
BungeeCord1,net.md_5.bungee.api.score,Scoreboard,addTeam,Long Statement,The length of the statement "Preconditions.checkArgument(!teams.containsKey(team.getName())`"Team %s already exists in this scoreboard"`team.getName());" is 123.,70
BungeeCord1,net.md_5.bungee.command,CommandBungee,execute,Long Statement,The length of the statement "sender.sendMessage(ChatColor.BLUE + "This server is running BungeeCord version " + ProxyServer.getInstance().getVersion()+ " by md_5");" is 135.,16
BungeeCord1,net.md_5.bungee.command,CommandIP,execute,Long Statement,The length of the statement "sender.sendMessage(new ComponentBuilder().appendLegacy(ProxyServer.getInstance().getTranslation("command_ip"`user.getName()`user.getSocketAddress())).event(new ClickEvent(ClickEvent.Action.COPY_TO_CLIPBOARD`user.getSocketAddress().toString())).create());" is 254.,18
BungeeCord1,net.md_5.bungee.command,CommandReload,execute,Long Statement,The length of the statement "sender.sendMessage(ChatColor.BOLD.toString() + ChatColor.RED.toString() + "BungeeCord has been reloaded."+ " This is NOT advisable and you will not be supported with any issues that arise! Please restart BungeeCord ASAP.");" is 223.,17
BungeeCord1,net.md_5.bungee.command,ConsoleCommandCompleter,complete,Long Statement,The length of the statement "candidates.addAll(proxy.getPluginManager().getCommands().stream().map(Map.Entry::getKey).filter((name) -> name.toLowerCase(Locale.ROOT).startsWith(lowerCase)).collect(Collectors.toList()));" is 189.,18
BungeeCord1,net.md_5.bungee.util,CaseInsensitiveHashingStrategy,equals,Long Statement,The length of the statement "return o1.equals(o2) || (o1 instanceof String && o2 instanceof String && ((String)o1).toLowerCase(Locale.ROOT).equals(((String)o2).toLowerCase(Locale.ROOT)));" is 158.,17
BungeeCord1,net.md_5.bungee.util,AddressParseTest,data,Long Statement,The length of the statement "return Stream.of(Arguments.of("127.0.0.1"`"127.0.0.1"`Util.DEFAULT_PORT)`Arguments.of("127.0.0.1:1337"`"127.0.0.1"`1337)`Arguments.of("[::1]"`"0:0:0:0:0:0:0:1"`Util.DEFAULT_PORT)`Arguments.of("[0:0:0:0::1]"`"0:0:0:0:0:0:0:1"`Util.DEFAULT_PORT)`Arguments.of("[0:0:0:0:0:0:0:1]"`"0:0:0:0:0:0:0:1"`Util.DEFAULT_PORT)`Arguments.of("[::1]:1337"`"0:0:0:0:0:0:0:1"`1337)`Arguments.of("[0:0:0:0::1]:1337"`"0:0:0:0:0:0:0:1"`1337)`Arguments.of("[0:0:0:0:0:0:0:1]:1337"`"0:0:0:0:0:0:0:1"`1337)`Arguments.of("unix:///var/run/bungee.sock"`"/var/run/bungee.sock"`-1));" is 554.,18
BungeeCord1,net.md_5.bungee.util,AddressParseTest,data,Magic Number,The method contains a magic number: 1337,18
BungeeCord1,net.md_5.bungee.util,AddressParseTest,data,Magic Number,The method contains a magic number: 1337,18
BungeeCord1,net.md_5.bungee.util,AddressParseTest,data,Magic Number,The method contains a magic number: 1337,18
BungeeCord1,net.md_5.bungee.util,AddressParseTest,data,Magic Number,The method contains a magic number: 1337,18
BungeeCord1,net.md_5.bungee.util,UUIDTest,testMany,Magic Number,The method contains a magic number: 1000,19
BungeeCord1,net.md_5.bungee.util,AllowedCharacters,isChatAllowedCharacter,Magic Number,The method contains a magic number: 127,10
BungeeCord1,net.md_5.bungee.util,AllowedCharacters,isValidName,Magic Number,The method contains a magic number: 16,28
BungeeCord1,net.md_5.bungee.util,ChatComponentTransformer,transform,Long Statement,The length of the statement "List<BaseComponent> list=root.getExtra().stream().map((extra) -> transform(player`transformHover`extra)).collect(Collectors.toList());" is 134.,80
BungeeCord1,net.md_5.bungee.util,AddressUtilTest,testScope,Magic Number,The method contains a magic number: 25577,10
BungeeCord1,net.md_5.bungee.util,AddressUtilTest,testScope,Magic Number,The method contains a magic number: 25577,10
BungeeCord1,net.md_5.bungee,Util,getAddr,Empty catch clause,The method has an empty catch block.,21
BungeeCord1,net.md_5.bungee,Util,exception,Long Statement,The length of the statement "return t.getClass().getSimpleName() + " : " + t.getMessage()+ ((includeLineNumbers && trace.length > 0) ? " @ " + t.getStackTrace()[0].getClassName() + ":"+ t.getStackTrace()[0].getLineNumber() : "");" is 200.,95
BungeeCord1,net.md_5.bungee,Util,getUUID,Long Statement,The length of the statement "return new UUID(UnsignedLongs.parseUnsignedLong(uuid.substring(0`16)`16)`UnsignedLongs.parseUnsignedLong(uuid.substring(16)`16));" is 129.,131
BungeeCord1,net.md_5.bungee,Util,getUUID,Magic Number,The method contains a magic number: 16,131
BungeeCord1,net.md_5.bungee,Util,getUUID,Magic Number,The method contains a magic number: 16,131
BungeeCord1,net.md_5.bungee,Util,getUUID,Magic Number,The method contains a magic number: 16,131
BungeeCord1,net.md_5.bungee,Util,getUUID,Magic Number,The method contains a magic number: 16,131
BungeeCord1,net.md_5.bungee,Bootstrap,main,Magic Number,The method contains a magic number: 52.0,6
BungeeCord1,net.md_5.bungee,NativeCipherTest,testBenchmark,Long Statement,The length of the statement "System.out.println(String.format("Encryption Iteration: %d` Elapsed: %d ms"`BENCHMARK_COUNT`System.currentTimeMillis() - start));" is 129.,114
BungeeCord1,net.md_5.bungee,NativeCipherTest,testBenchmark,Long Statement,The length of the statement "System.out.println(String.format("Decryption Iteration: %d` Elapsed: %d ms"`BENCHMARK_COUNT`System.currentTimeMillis() - start));" is 129.,114
BungeeCord1,net.md_5.bungee,NativeCipherTest,testBenchmark,Magic Number,The method contains a magic number: 12,114
BungeeCord1,net.md_5.bungee,NativeZlibTest,test,Magic Number,The method contains a magic number: 22,42
BungeeCord1,net.md_5.bungee,NativeZlibTest,test,Magic Number,The method contains a magic number: 9,42
BungeeCord1,net.md_5.bungee,NativeZlibTest,testExceptionImpl,Long Statement,The length of the statement "assertThrows(DataFormatException.class`() -> zlib.process(originalBuf`decompressed)`"Decompressing random bytes did not result in a DataFormatException!");" is 155.,81
BungeeCord1,net.md_5.bungee,NativeZlibTest,testExceptionImpl,Magic Number,The method contains a magic number: 12,81
BungeeCord1,net.md_5.bungee,BungeeCord,BungeeCord,Abstract Function Call From Constructor,The constructor BungeeCord calls a virtual method getPluginManager.,191
BungeeCord1,net.md_5.bungee,BungeeCord,BungeeCord,Long Statement,The length of the statement "Preconditions.checkState(new File(".").getAbsolutePath().indexOf('!') == -1`"Cannot use BungeeCord in directory with ! in path.");" is 130.,191
BungeeCord1,net.md_5.bungee,BungeeCord,start,Long Statement,The length of the statement "if (System.getProperty("io.netty.leakDetectionLevel") == null && System.getProperty("io.netty.leakDetection.level") == null) {" is 126.,260
BungeeCord1,net.md_5.bungee,BungeeCord,start,Long Statement,The length of the statement "getLogger().warning("MinecraftForge support is currently unmaintained and may have unresolved issues. Please use at your own risk.");" is 133.,260
BungeeCord1,net.md_5.bungee,BungeeCord,start,Magic Number,The method contains a magic number: 5,260
BungeeCord1,net.md_5.bungee,BungeeCord,startListeners,Long Statement,The length of the statement "getLogger().log(Level.WARNING`"Using PROXY protocol for listener {0}` please ensure this listener is adequately firewalled."`info.getSocketAddress());" is 150.,329
BungeeCord1,net.md_5.bungee,BungeeCord,startListeners,Long Statement,The length of the statement "new ServerBootstrap().channel(PipelineUtils.getServerChannel(info.getSocketAddress())).option(ChannelOption.SO_REUSEADDR`true).childAttr(PipelineUtils.LISTENER`info).childHandler(PipelineUtils.SERVER_CHILD).group(eventLoops).localAddress(info.getSocketAddress()).bind().addListener(listener);" is 292.,329
BungeeCord1,net.md_5.bungee,BungeeCord,startListeners,Long Statement,The length of the statement "Preconditions.checkArgument(info.getSocketAddress() instanceof InetSocketAddress`"Can only create query listener on UDP address");" is 130.,329
BungeeCord1,net.md_5.bungee,BungeeCord,startListeners,Long Statement,The length of the statement "new RemoteQuery(this`info).start(PipelineUtils.getDatagramChannel()`new InetSocketAddress(info.getHost().getAddress()`info.getQueryPort())`eventLoops`bindListener);" is 164.,329
BungeeCord1,net.md_5.bungee,BungeeCord,independentThreadStop,Complex Method,Cyclomatic complexity of the method is 8,428
BungeeCord1,net.md_5.bungee,BungeeCord,independentThreadStop,Empty catch clause,The method has an empty catch block.,428
BungeeCord1,net.md_5.bungee,BungeeCord,independentThreadStop,Empty catch clause,The method has an empty catch block.,428
BungeeCord1,net.md_5.bungee,BungeeCord,independentThreadStop,Magic Number,The method contains a magic number: 500,428
BungeeCord1,net.md_5.bungee,BungeeCord,getVersion,Long Statement,The length of the statement "return (BungeeCord.class.getPackage().getImplementationVersion() == null) ? "unknown" : BungeeCord.class.getPackage().getImplementationVersion();" is 145.,547
BungeeCord1,net.md_5.bungee,BungeeCord,getPlayerByOfflineUUID,Magic Number,The method contains a magic number: 3,631
BungeeCord1,net.md_5.bungee,BungeeCord,registerChannels,Long Statement,The length of the statement "return new PluginMessage("minecraft:register"`String.join("\00"`Iterables.transform(pluginChannels`PluginMessage.MODERNISE)).getBytes(StandardCharsets.UTF_8)`false);" is 165.,693
BungeeCord1,net.md_5.bungee,BungeeCord,getGameVersion,Long Statement,The length of the statement "return ProtocolConstants.SUPPORTED_VERSIONS.get(0) + "-" + ProtocolConstants.SUPPORTED_VERSIONS.get(ProtocolConstants.SUPPORTED_VERSIONS.size() - 1);" is 149.,709
BungeeCord1,net.md_5.bungee,BungeeCord,addConnection,Complex Conditional,The conditional expression connections.containsKey(con.getName()) || connectionsByUUID.containsKey(con.getUniqueId()) || connectionsByOfflineUUID.containsKey(offlineId) is complex.,759
BungeeCord1,net.md_5.bungee,BungeeCord,addConnection,Long Statement,The length of the statement "if (connections.containsKey(con.getName()) || connectionsByUUID.containsKey(con.getUniqueId()) || connectionsByOfflineUUID.containsKey(offlineId)) {" is 148.,759
BungeeCord1,net.md_5.bungee,BungeeCord,addConnection,Magic Number,The method contains a magic number: 3,759
BungeeCord1,net.md_5.bungee,BungeeCord,matchPlayer,Long Statement,The length of the statement "return (input == null) ? false : input.getName().toLowerCase(Locale.ROOT).startsWith(partialName.toLowerCase(Locale.ROOT));" is 123.,807
BungeeCord1,net.md_5.bungee,BungeeCord,apply,Long Statement,The length of the statement "return (input == null) ? false : input.getName().toLowerCase(Locale.ROOT).startsWith(partialName.toLowerCase(Locale.ROOT));" is 123.,821
BungeeCord1,net.md_5.bungee,BungeeCordLauncher,main,Complex Method,Cyclomatic complexity of the method is 9,19
BungeeCord1,net.md_5.bungee,BungeeCordLauncher,main,Long Statement,The length of the statement "if (BungeeCord.class.getPackage().getSpecificationVersion() != null && System.getProperty("IReallyKnowWhatIAmDoingISwear") == null) {" is 133.,19
BungeeCord1,net.md_5.bungee,BungeeCordLauncher,main,Magic Number,The method contains a magic number: 8,19
BungeeCord1,net.md_5.bungee,BungeeCordLauncher,main,Magic Number,The method contains a magic number: 10,19
BungeeCord1,net.md_5.bungee,BungeeServerInfo,ping,Complex Conditional,The conditional expression pingCache > 0 && cachedPing != null && (System.currentTimeMillis() - lastPing) > pingCache is complex.,156
BungeeCord1,net.md_5.bungee,BungeeServerInfo,ping,Long Statement,The length of the statement "future.channel().pipeline().get(HandlerBoss.class).setHandler(new PingHandler(BungeeServerInfo.this`callback`protocolVersion));" is 127.,156
BungeeCord1,net.md_5.bungee,BungeeServerInfo,ping,Long Statement,The length of the statement "new Bootstrap().channel(PipelineUtils.getChannel(socketAddress)).group(BungeeCord.getInstance().eventLoops).handler(PipelineUtils.BASE_SERVERSIDE).option(ChannelOption.CONNECT_TIMEOUT_MILLIS`BungeeCord.getInstance().getConfig().getRemotePingTimeout()).remoteAddress(socketAddress).connect().addListener(listener);" is 313.,156
BungeeCord1,net.md_5.bungee,BungeeServerInfo,operationComplete,Long Statement,The length of the statement "future.channel().pipeline().get(HandlerBoss.class).setHandler(new PingHandler(BungeeServerInfo.this`callback`protocolVersion));" is 127.,174
BungeeCord1,net.md_5.bungee,BungeeTitle,createAnimationPacket,Long Statement,The length of the statement "TitlePacketHolder<TitleTimes> title=new TitlePacketHolder<>(new net.md_5.bungee.protocol.packet.Title(Action.TIMES)`new TitleTimes());" is 134.,32
BungeeCord1,net.md_5.bungee,BungeeTitle,createAnimationPacket,Magic Number,The method contains a magic number: 20,32
BungeeCord1,net.md_5.bungee,BungeeTitle,createAnimationPacket,Magic Number,The method contains a magic number: 60,32
BungeeCord1,net.md_5.bungee,BungeeTitle,createAnimationPacket,Magic Number,The method contains a magic number: 20,32
BungeeCord1,net.md_5.bungee,BungeeTitle,createAnimationPacket,Magic Number,The method contains a magic number: 20,32
BungeeCord1,net.md_5.bungee,BungeeTitle,createAnimationPacket,Magic Number,The method contains a magic number: 60,32
BungeeCord1,net.md_5.bungee,BungeeTitle,createAnimationPacket,Magic Number,The method contains a magic number: 20,32
BungeeCord1,net.md_5.bungee,ConnectionThrottle,ConnectionThrottle,Long Statement,The length of the statement "this.throttle=CacheBuilder.newBuilder().ticker(ticker).concurrencyLevel(Runtime.getRuntime().availableProcessors()).initialCapacity(100).expireAfterWrite(throttleTime`TimeUnit.MILLISECONDS).build(new CacheLoader<InetAddress`AtomicInteger>(){" is 241.,25
BungeeCord1,net.md_5.bungee,ConnectionThrottle,ConnectionThrottle,Magic Number,The method contains a magic number: 100,25
BungeeCord1,net.md_5.bungee,EncryptionUtil,encryptRequest,Magic Number,The method contains a magic number: 16,70
BungeeCord1,net.md_5.bungee,EncryptionUtil,encryptRequest,Magic Number,The method contains a magic number: 4,70
BungeeCord1,net.md_5.bungee,EncryptionUtil,check,Long Statement,The length of the statement "ByteBuffer.wrap(check).order(ByteOrder.BIG_ENDIAN).putLong(uuid.getMostSignificantBits()).putLong(uuid.getLeastSignificantBits()).putLong(publicKey.getExpiry()).put(encoded);" is 174.,80
BungeeCord1,net.md_5.bungee,EncryptionUtil,check,Long Statement,The length of the statement "check=(publicKey.getExpiry() + "-----BEGIN RSA PUBLIC KEY-----\n" + MIME_ENCODER.encodeToString(getPubkey(publicKey.getKey()).getEncoded())+ "\n-----END RSA PUBLIC KEY-----\n").getBytes(StandardCharsets.US_ASCII);" is 213.,80
BungeeCord1,net.md_5.bungee,EncryptionUtil,check,Magic Number,The method contains a magic number: 24,80
BungeeCord1,net.md_5.bungee,Metrics,run,Empty catch clause,The method has an empty catch block.,35
BungeeCord1,net.md_5.bungee,PlayerSkinConfiguration,hasLeftSleeve,Magic Number,The method contains a magic number: 2,40
BungeeCord1,net.md_5.bungee,PlayerSkinConfiguration,hasRightSleeve,Magic Number,The method contains a magic number: 3,46
BungeeCord1,net.md_5.bungee,PlayerSkinConfiguration,hasLeftPants,Magic Number,The method contains a magic number: 4,52
BungeeCord1,net.md_5.bungee,PlayerSkinConfiguration,hasRightPants,Magic Number,The method contains a magic number: 5,58
BungeeCord1,net.md_5.bungee,PlayerSkinConfiguration,hasHat,Magic Number,The method contains a magic number: 6,64
BungeeCord1,net.md_5.bungee,ServerConnector,connected,Complex Conditional,The conditional expression profile != null && profile.getProperties() != null && profile.getProperties().length > 0 is complex.,104
BungeeCord1,net.md_5.bungee,ServerConnector,connected,Long Statement,The length of the statement "Handshake copiedHandshake=new Handshake(originalHandshake.getProtocolVersion()`originalHandshake.getHost()`originalHandshake.getPort()`2);" is 138.,104
BungeeCord1,net.md_5.bungee,ServerConnector,connected,Long Statement,The length of the statement "String newHost=copiedHandshake.getHost() + "\00" + AddressUtil.sanitizeAddress(user.getAddress())+ "\00"+ user.getUUID();" is 121.,104
BungeeCord1,net.md_5.bungee,ServerConnector,connected,Magic Number,The method contains a magic number: 2,104
BungeeCord1,net.md_5.bungee,ServerConnector,handle,Magic Number,The method contains a magic number: 16,142
BungeeCord1,net.md_5.bungee,ServerConnector,handle,Complex Conditional,The conditional expression user.getServer() != null && user.getForgeClientHandler().isHandshakeComplete() && user.getServer().isForgeServer() is complex.,151
BungeeCord1,net.md_5.bungee,ServerConnector,handle,Long Statement,The length of the statement "if (user.getServer() != null && user.getForgeClientHandler().isHandshakeComplete() && user.getServer().isForgeServer()) {" is 121.,151
BungeeCord1,net.md_5.bungee,ServerConnector,handle,Long Statement,The length of the statement "user.retrieveCookie(cookieRequest.getCookie()).thenAccept((cookie) -> ch.write(new CookieResponse(cookieRequest.getCookie()`cookie)));" is 134.,193
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Complex Method,Cyclomatic complexity of the method is 17,209
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Long Parameter List,The method has 7 parameters. ,209
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Long Statement,The length of the statement "ch.write(new PluginMessage(user.getPendingConnection().getVersion() >= ProtocolConstants.MINECRAFT_1_13 ? "minecraft:register" : "REGISTER"`Joiner.on("\0").join(registeredChannels).getBytes(StandardCharsets.UTF_8)`false));" is 222.,209
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Long Statement,The length of the statement "Login modLogin=new Login(login.getEntityId()`login.isHardcore()`login.getGameMode()`login.getPreviousGameMode()`login.getWorldNames()`login.getDimensions()`login.getDimension()`login.getWorldName()`login.getSeed()`login.getDifficulty()`(byte)user.getPendingConnection().getListener().getTabListSize()`login.getLevelType()`login.getViewDistance()`login.getSimulationDistance()`login.isReducedDebugInfo()`login.isNormalRespawn()`login.isLimitedCrafting()`login.isDebug()`login.isFlat()`login.getDeathLocation()`login.getPortalCooldown()`login.isSecureProfile());" is 560.,209
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Long Statement,The length of the statement "user.unsafe().sendPacket(new Respawn(login.getDimension()`login.getWorldName()`login.getSeed()`login.getDifficulty()`login.getGameMode()`login.getPreviousGameMode()`login.getLevelType()`login.isDebug()`login.isFlat()`(byte)0`login.getDeathLocation()`login.getPortalCooldown()));" is 278.,209
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Long Statement,The length of the statement "user.unsafe().sendPacket(new PluginMessage(user.getPendingConnection().getVersion() >= ProtocolConstants.MINECRAFT_1_13 ? "minecraft:brand" : "MC|Brand"`DefinedPacket.toArray(brand)`handshakeHandler != null && handshakeHandler.isServerForge()));" is 245.,209
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Long Statement,The length of the statement "user.unsafe().sendPacket(new ScoreboardObjective(objective.getName()`(user.getPendingConnection().getVersion() >= ProtocolConstants.MINECRAFT_1_13) ? Either.right(ComponentSerializer.deserialize(objective.getValue())) : Either.left(objective.getValue())`ScoreboardObjective.HealthDisplay.fromString(objective.getType())`(byte)1`null));" is 335.,209
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Long Statement,The length of the statement "user.unsafe().sendPacket(new ScoreboardScore(score.getItemName()`(byte)1`score.getScoreName()`score.getValue()`null`null));" is 123.,209
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Long Statement,The length of the statement "user.unsafe().sendPacket(new EntityStatus(user.getClientEntityId()`login.isReducedDebugInfo() ? EntityStatus.DEBUG_INFO_REDUCED : EntityStatus.DEBUG_INFO_NORMAL));" is 163.,209
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Long Statement,The length of the statement "user.unsafe().sendPacket(new Respawn((Integer)login.getDimension() >= 0 ? -1 : 0`login.getWorldName()`login.getSeed()`login.getDifficulty()`login.getGameMode()`login.getPreviousGameMode()`login.getLevelType()`login.isDebug()`login.isFlat()`(byte)0`login.getDeathLocation()`login.getPortalCooldown()));" is 301.,209
BungeeCord1,net.md_5.bungee,ServerConnector,handleLogin,Long Statement,The length of the statement "user.unsafe().sendPacket(new Respawn(login.getDimension()`login.getWorldName()`login.getSeed()`login.getDifficulty()`login.getGameMode()`login.getPreviousGameMode()`login.getLevelType()`login.isDebug()`login.isFlat()`(byte)0`login.getDeathLocation()`login.getPortalCooldown()));" is 278.,209
BungeeCord1,net.md_5.bungee,ServerConnector,cutThrough,Long Statement,The length of the statement "user.unsafe().sendPacket(new LoginSuccess(user.getRewriteId()`user.getName()`(loginProfile == null) ? null : loginProfile.getProperties()));" is 140.,349
BungeeCord1,net.md_5.bungee,ServerConnector,handle,Long Statement,The length of the statement "ServerKickEvent event=new ServerKickEvent(user`target`new BaseComponent[]{kick.getMessage()}`def`ServerKickEvent.State.CONNECTING);" is 131.,404
BungeeCord1,net.md_5.bungee,ServerConnector,handle,Complex Method,Cyclomatic complexity of the method is 8,437
BungeeCord1,net.md_5.bungee,ServerConnector,handle,Long Statement,The length of the statement "if (pluginMessage.getTag().equals(ForgeConstants.FML_HANDSHAKE_TAG) || pluginMessage.getTag().equals(ForgeConstants.FORGE_REGISTER)) {" is 134.,437
